brand,perfume,notes
Aftelier,Parfum de Maroc,"turkey red rose, nutmeg, cardamom, myrrh, saffron, galanga"
Aftelier,Parfum Priv,"orange blossom, osmanthus, allspice, ambrette (musk mallow), ambergris, bergamot, pink pepper"
Aftelier,Pink Lotus,"lotus, fruity notes, sandalwood, aldehydes, floral notes, powdery notes, woody notes"
Aftelier,Secret Garden,"jasmine, lotus, rose, raspberry, vanille, castoreum, civetta, liatris, benzoin, patchouli, geranium, bergamot, brazilian rosewood, blood orange"
Aftelier,Sepia,"jasmine, lotus, big strawberry, coffee, cacao, white tobacco, agarwood (oud), ambergris, boletus edulis, labdanum, indole, grapefruit, mandarin orange, cedar"
Aftelier,Shiso,"shiso, pandanus, geranium, sandalwood, patchouli, agarwood (oud), cloves, green pepper"
Aftelier,Tango,"coffee, champaca, choya loban, white tabacco, tonka bean, orange, ginger"
Aftelier,Trevert,"tuberose, clary sage, pine tree needles, grass, fir, tarragon"
Aftelier,Vanilla Smoke,"yellow mandarin, woody notes, saffron, vanilla absolute, tea, ambergris, coumarin"
Aftelier,Wild Roses,"apricot, pimento, taif rose, tarragon, vanilla, patchouli, rose, heliotrope, geranium, damask rose"
Aftelier,Alchemy,"rose, jasmine, vanilla, ambergris, black pepper, bitter orange"
Aftelier,Boronia Single Solid,"orchid, orange blossom"
Aftelier,Fir,"fir, fruity notes"
Aftelier,Jasmine Single,"jasmine, blood orange, pink grapefruit"
Aftelier,Muse,"clary sage, rosemary, labdanum, lime"
Aftelier,Orchid Single,"orchid, orange blossom"
Aftelier,Oud Luban,", patchouli, opoponax, benzoin, agarwood (oud), choya loban, elemi, orange, blood orange, olibanum"
Aftelier,Parfum Priv Solid,"orange blossom, osmanthus, pimento, ambrette (musk mallow), ambergris, bergamot, pink pepper"
Aftelier,Roses,"rose, honey, myrrh, musk, spicy notes"
Aftelier,Wildflowers,"wildflowers, hay, lime"
Ajne,3rd Eiger,"orange, woody notes, moss, spicy notes"
Ajne,Adler,"tuberose, tagetes, cacao, white tobacco"
Ajne,Adonis,"amber, myrrh, rose, musk, castoreum, ambergris"
Ajne,Aphrodite,"madagascar vanilla, myrrh, moroccan rose, turkish rose oil, bulgarian rose"
Ajne,Bella,"tea rose, lilac, amber, vanilla, citruses, jasmine"
Ajne,Big Sur,"champaca, patchouli, sandalwood, vanilla, palisander rosewood"
Ajne,Bloom de Nuit Night s Bloom,"citruses, green leaves, rose, labdanum, amber, sandalwood, neroli"
Ajne,Calme Calm,"amber, musk, ambrette (musk mallow), myrrh, madagascar vanilla"
Ajne,Calypso,"moroccan jasmine, frangipani, madagascar vanilla, cardamom"
Ajne,Citron Regenerez Liquid Sunshine,"citruses, spicy notes, limoncello, sea notes"
Ajne,CoolBleu Cool Blues,"lemon verbena, basil, oakmoss"
Ajne,deLavande,"lavender, powdery notes, green notes, spicy notes, vanilla, almond tree"
Ajne,Desir Desire,"moroccan jasmine, australian sandalwood, cacao, agarwood (oud)"
Ajne,Divin Divine,"indian jasmine, pandanus, ylang-ylang, green notes"
Ajne,Espoir Hope,"citruses, green tea, honey, floral notes, woody notes"
Ajne,Esprit Spirit,"citruses, moroccan jasmine, tuberose, pandanus"
Ajne,Fleur Blanche White Flower,"gardenia, white flowers, woody notes, fruity notes"
Ajne,Houston,"grass, citruses, leather, tobacco, papyrus"
Ajne,Joie Joy,"lavender, bulgarian rose, sandalwood, palisander rosewood, citruses"
Ajne,Kincaid,woody notes
Ajne,Lago,"amber, moss"
Ajne,Lakshmi,"bulgarian rose, moroccan rose, white lotus, amber, woody notes, vanilla, natural musk, blood orange"
Ajne,Lucky,"lime, mandarin orange, myrrh, basil, sage"
Ajne,Maternite Epice Spice,"rose geranium, sandalwood, indian patchouli"
Ajne,Maternite Rose,"bulgarian rose, mandarin orange, sandalwood, palisander rosewood"
Ajne,Nectar,"apricot, citruses, madagascar vanilla"
Ajne,Nouvel Amour New Love,"bulgarian rose, candied almond, exotic woods, amber, madagascar vanilla"
Ajne,Om,"sandalwood, himalayan cedar, incense"
Ajne,Passion,"bulgarian rose, turkish rose, powdery notes, amber, musk, blood orange, magnolia"
Ajne,Printemps Springtime,"lime (linden) blossom, woody notes, driftwood, gardenia"
Ajne,Psyche,"rose, precious woods, champaca, bergamot, spicy notes"
Ajne,Roshambo,"sandalwood, bergamot, grass"
Ajne,Sambac,"jasmine sambac, citruses, green notes, woody notes, resins"
Ajne,Savannah,"magnolia, lime, grapefruit, bergamot"
Ajne,Savoir Knowing,"woody notes, herbal notes, floral notes, spicy notes, powdery notes, green tea, honey"
Ajne,Scorpio,"bergamot, pink pepper, indian patchouli"
Ajne,Spindrift,"citruses, sea notes, bergamot, driftwood, seashells, exotic floral notes"
Ajne,Sublime,"lime (linden) blossom, vanilla, woody notes, lime"
Ajne,Vanille,"madagascar vanilla, woody notes"
Ajne,Yuzu,"yuzu, pink grapefruit, cypress, juniper"
Akon,Konvict Femme,"musk, vanille, amalfi lemon, mandarin orange, almond"
Akon,Konvict Homme,"sandalwood, virginia cedar, bergamot, amalfi lemon"
Alan Cumming,Cumming,"pine tree, leather, balsam fir, whiskey, bergamot, pepper, moss, soil tincture, tuber"
Albert Nipon,Albert Nipon,"carnation, jasmine, rose, spices, musk, oak moss, woodsy notes, citruses"
Alexander Julian,Alexander Julian Womenswear,"jasmine, narcissus, ylang-ylang, palisander rosewood, freesia, rose, lily-of-the-valley, orchid, cyclamen, musk, sandalwood, oakmoss, cedar, vanilla, mandarin orange, cassia, apricot, plum, peach"
Alexander Julian,Colours,"floral notes, fruity notes, aldehydes"
Alexander Julian,Colours for Men,"citruses, floral notes, oakmoss, sandalwood, patchouli, spices, musk"
Alexandra de Markoff,Alexandra,"french narcissus, jasmine, moroccan rose, singapore patchouli, sandalwood, vetiver, south african sage, italian iris"
Alexandra de Markoff,Enigma,"carnation, jasmine, rose, spices, amber, patchouli, woody notes, oakmoss, aldehydes, green grass, coriander, green notes, bergamot"
Alexandra de Markoff,No Regrets,"tuberose, orange blossom, lily, gardenia, orris root, night blooming cereus, tolu balsam, sandalwood, musk, oakmoss, vetiver, mandarin orange, galbanum, osmanthus, ylang-ylang"
Alexandra de Markoff,Tiara,"floral notes, tiare flower"
Alford Hoff,Alford Hoff,"vanilla, tonka bean, rum, amber, leather, suede, citruses, herbal notes"
Alford Hoff,Alford Hoff No 2,"guatemalan cardamom, nutmeg, pink pepper, patchouli, cedar, oak, moss, sea notes, calabrian bergamot, citruses, water fruit, black basil"
Alkemia Perfumes,Baccante,"blueberry, ivy, lavender, oakmoss, tonka bean, bark"
Alkemia Perfumes,Bealtaine,"quince, pear, apple blossom, hawthorn, gorse, vanilla, musk, white amber"
Alkemia Perfumes,Black Magic Woman,"cupcake, caramel, incense, amber, labdanum, rose"
Alkemia Perfumes,Black Roses,"black rose, black musk, agarwood (oud)"
Alkemia Perfumes,Blackberry Noir,"blackberry, black tea, black musk"
Alkemia Perfumes,Blue Lotus,"egyptian musk, blue lotus, papyrus, white sandalwood"
Alkemia Perfumes,Boh me,"patchouli, red rose"
Alkemia Perfumes,Burning Roses,"red rose, incense, labdanum"
Alkemia Perfumes,Calaveras de Azucar,"white amber, sugar"
Alkemia Perfumes,Calliope,"vanilla, musk, orchid, black currant, sweet notes, cotton candy, tonka bean, clementine, orange blossom"
Alkemia Perfumes,Carmen 7,"gardenia, star jasmine, magnolia, musk, amber, pear, spicy notes, litchi, praline, bourbon vanilla, almond blossom"
Alkemia Perfumes,Cidre d Automne,"apple, spicy notes"
Alkemia Perfumes,Dalliance,"cucumber, fig, tea, watery notes"
Alkemia Perfumes,Deadwood,"leather, amber, honey, vetiver, tonka bean, sage, cedar, rum"
Alkemia Perfumes,Deus ex Machina,"metallic notes, oily notes, ambergris"
Alkemia Perfumes,Devil s Dandy,"leather, black currant, blackberry, red wine, mahogany, musk, patchouli"
Alkemia Perfumes,Divine Goddess Musk,egyptian musk
Alkemia Perfumes,Douceur de Vivre,"sugar cane, ginger flower, hibiscus, white amber, fig, white rum, coconut nectar"
Alkemia Perfumes,Elixir of Aphrodite,"apricot, orange honey, peach blossom, plum blossom, mimosa, star jasmine, ambrette (musk mallow), guaiac wood, musk, vanilla"
Alkemia Perfumes,Ensorcelant,"raspberry, jasmine sambac, patchouli, caramel, incense"
Alkemia Perfumes,Falling Stars at Summer Solstice,"st. john's wort, verbena, hawthorn"
Alkemia Perfumes,Farkas,"musk, leather"
Alkemia Perfumes,Fire and Ice,spicy notes
Alkemia Perfumes,Ghost Fire,white amber
Alkemia Perfumes,Green Carnation,carnation
Alkemia Perfumes,Hellcat,"agarwood (oud), black musk, labdanum, tobacco, opium, spicy notes"
Alkemia Perfumes,Hexennacht,"soil tincture, grass, incense"
Alkemia Perfumes,Invitation to the Moon,"lemon, neroli, pear blossom, chinese peony, water lily, rice flower, jasmine sambac, gladiolus, coriander, ambergris, patchouli"
Alkemia Perfumes,Kamarasa,"honey, amber, coconut milk, fig"
Alkemia Perfumes,Lacivius,"civet, black musk, agarwood (oud)"
Alkemia Perfumes,Madam X,"bergamot, mandarin orange, black violet, italian iris, black orchid, hinoki incense, orris root, musk, white sandalwood, tahitian vanilla, patchouli"
Alkemia Perfumes,Mesnee d Hellequin,"balsam fir, cypress, cedar, teak wood, vetiver, galbanum, lichen, oakmoss, green leaves, earthy notes, boletus edulis"
Alkemia Perfumes,Miel de Sauvage et Tabac,"sweet notes, tobacco, honey, beeswax, floral notes, amber"
Alkemia Perfumes,Philtre d Amour No 6,"amber, tonka bean, bourbon vanilla, honey"
Alkemia Perfumes,Porta Alchemica,"campari, orange, red currant, cypress, neroli, olive blossom, tonka bean, bay leaf, caramel, hay, violet leaf, tobacco leaf, white rose, patchouli, amber"
Alkemia Perfumes,Reverie Balneaire,"driftwood, seaweed, sand, sea notes, musk"
Alkemia Perfumes,Smoke Mirrors,"smoke, woody notes, madagascar vanilla, tonka bean"
Alkemia Perfumes,Summer Dandelion,"dandelion, grass, rain notes"
Alkemia Perfumes,Vixen,"white amber, floral notes, spices, pumpkin, musk, apple, sugar, jasmine tea, oakmoss"
Alkemia Perfumes,Faerie Queen,"strawberry, tuber, saffron, fern, patchouli, oakmoss, agarwood (oud), oak, honey"
Alkemia Perfumes,1891,"lavender, mandarin orange, lime, bergamot, bay leaf, coriander, cloves, nutmeg, ginger flower, pink pepper, white carnation, rose, birch, opium, amber, precious woods, incense"
Alkemia Perfumes,Bohemiens en Voyage,"tobacco leaf, orris root, hay, amber, rock rose, musk, suede, sugar cane"
Alkemia Perfumes,Caveau des Innocents,"tobacco, coffee, cloves, rum, pear, citron, caramel, star anise, opoponax, labdanum, benzoin, cannabis, vanilla, incense, guaiac wood"
Alkemia Perfumes,The Decadents,"rum, vodka, honey, cacao, tobacco, amber, vanilla, opium, musk, leather"
Alkemia Perfumes,Deadly Nightshade,"violet, suede, patchouli, black amber, opium"
Alkemia Perfumes,Caravan,"cognac, honey, fruity notes, cinnamon, cardamom, anise, mace, caramel, sugar, musk, tonka bean, turkish coffee beans, ambrette (musk mallow)"
Alkemia Perfumes,Epic e Boh me,"ceylon cinnamon, coriander, cardamom, pink pepper, black tea, amberwood, amber, tobacco leaf, guaiac wood, opoponax, vetiver"
Alkemia Perfumes,Fum Oud la Vanille,"tonka bean, amber, vanilla, agarwood (oud)"
Alkemia Perfumes,Persian Tea Room,"tea, sand, spicy notes, musk, leather"
Alkemia Perfumes,County Fair,"cotton candy, popocorn, candy apple, toffee"
Alkemia Perfumes,Desiderata,"honeysuckle, vetiver, ivy, grass, watery notes, clay, woody notes"
Alkemia Perfumes,Lilacs Along the Winding Drive,"lilac, violet, water notes, pebbles, powdery notes"
Alkemia Perfumes,Sandscape,"sand, sea notes, seaweed, musk"
Alkemia Perfumes,Woods on a Snowy Evening,"juniper berries, pine, pine needles, balsam fir, cedar, camphor, watery notes"
Alkemia Perfumes,Gaea,"fern, moss, watery notes"
Allen Shaw,No 1,"orange blossom, citruses, amber, jasmine, vanilla, sandalwood"
Allen Shaw,No 2,"rose, jasmine, musk, cedar, guaiac wood, vetiver"
Allen Shaw,No 3,"sandalwood, violet, iris, vanilla, cardamom, leather"
Allen Shaw,No 4,"pineapple, melon, currant buds, vetiver, oakmoss, patchouli"
Allen Shaw,No 5,"lily, jasmine, rose, leather, woody notes, grapefruit, black currant, melon"
Aloha Beauty,Hawaiian Plumeria,frangipani
Aloha Beauty,Island Bougainvillea,"floral notes, tropical fruit"
Aloha Beauty,Red Hibiscus,"hibiscus, spices"
Aloha Beauty,Tropical Gardenia,gardenia
Alyssa Ashley,4H for Her,"heliotrope, jasmine, sandalwood, benzoin, tonka bean, vanilla, iris, musk, mandarin orange, petitgrain, green tea"
Alyssa Ashley,4H for Him,"heliotrope, nutmeg, cedar, patchouli, oakmoss, tonka bean, musk, bergamot, violet leaf, mandarin orange"
Alyssa Ashley,4H for Him and Her,"heliotrope, watery notes, cedar, sandalwood, benzoin, vanilla, tonka bean, bergamot, cardamom, mandarin orange"
Alyssa Ashley,Alyssa Ashley Green Tea Essence,"nutmeg, iris, melon, lavender, violet, freesia, jasmine, bergamot, sicilian lemon, rose"
Alyssa Ashley,Ambre Gris,"bulgarian rose, indian jasmine, sandalwood, madagascar vanilla, amber, labdanum, sicilian lemon, calabrian bergamot, pink pepper"
Alyssa Ashley,Coco Vanilla by Alyssa Ashley,"heliotrope, tiare flower, amber, caramel, sand, vanille, amalfi lemon, coconut, passionfruit"
Alyssa Ashley,En Fleur,floral notes
Alyssa Ashley,Esoteric,"jasmine, african orange flower, cashmere wood, vetiver, amber, musk, anise, citruses"
Alyssa Ashley,Essence de Patchouli,"orris root, patchouli, guaiac wood, virginia cedar, coumarin, french labdanum, vanille, musk, geranium, rose"
Alyssa Ashley,Fizzy,"jasmine, geranium, ylang-ylang, lily-of-the-valley, musk, benzoin, vanille, coriander, bergamot"
Alyssa Ashley,Fizzy Blue,"jasmine, red apple, musk, virginia cedar, hyacinth, amalfi lemon"
Alyssa Ashley,Ill gale,"ylang-ylang, rose, lily, tuberose, jasmine, musk, oakmoss, amber, sandalwood, cedar, bergamot, hyacinth, pineapple"
Alyssa Ashley,Musk,"jasmine, geranium, ylang-ylang, rose, musk, iris, oak moss, tonka bean, bergamot"
Alyssa Ashley,Musk Extreme,"carnation, jasmine, rose, musk, amber, vanille, orris root, coumarin, bergamot"
Alyssa Ashley,Musk for Men,"ylang-ylang, jasmine, violet, musk, lemon, petitgrain, galbanum"
Alyssa Ashley,Oud pour Elle,"moroccan rose, heliotrope, black tea, myrrh, indonesian patchouli leaf, sandalwood, black musk, agarwood (oud), sicilian lemon, calabrian bergamot, plum"
Alyssa Ashley,Oud pour Lui,"indian jasmine, olibanum, cumin, java vetiver oil, atlas cedar, sandalwood, siam benzoin, amber, sicilian lemon, geranium, saffron"
Alyssa Ashley,Vanilla,"jasmine, vanille, bergamot, amalfi lemon"
Alyssa Ashley,White Musk,"jasmine, ylang-ylang, rose, lilac, musk, patchouli, bergamot, tarragon"
Alyssa Ashley,Wildflower,floral notes
Alyssa Ashley,B Boy,"geranium, tobacco leaf, woody notes, amber, vanilla, musk, bergamot, lemon, orange, cinnamon"
Alyssa Ashley,B Girl,"orange blossom, jasmine sambac, damask rose, sandalwood, labdanum, amber, musk, mandarin orange, neroli, cloves"
Amanda Lepore,Amanda,"african orange flower, tuberose, violet, amber, orris root, citruses, mandarin orange, big strawberry, champagne, cucumber"
American Beauty,Beloved,"iris, african orange flower, tuberose, stephanotis, cotton flower, sandalwood, amber, bitter orange, apricot, arum lily"
American Beauty,Beloved Moments,"lily, green notes"
American Beauty,Beloved Purple Blossom,"iris, jasmine, gardenia, sandalwood, grapefruit, honeysuckle, lilac, peony, mimosa, pear, lily, orris"
American Beauty,Beloved Red Rose,"rose, tuberose, green notes, gardenia, powdery notes, water notes, nectarine, apricot, pink grapefruit"
American Beauty,True Delight,"iris, magnolia, apricot, camelia, musk, sandalwood, virginia cedar, water notes, peach, jasmine, bergamot, cassis, lily-of-the-valley, tiare flower"
American Beauty,Wonderful,"poppy, primrose, bergamot, honeysuckle, sequoia, magnolia, gardenia, peony, orange, jasmine"
American Beauty,Wonderful Indulgence,"iris, gardenia, jasmine, lily-of-the-valley, raspberry, mint, cedar, birch, peach, white amber, magnolia, pear, orange, mandarin orange, cucumber"
American Crew,American Crew Sport,"bergamot, lavender, vetiver"
American Crew,Classic Fragrance,"lavender, rosemary, sandalwood, clary sage, grapefruit, mandarin orange"
American Crew,Nine,"lavender, rosemary, sandalwood, clary sage, mandarin orange, grapefruit"
American Eagle,AEO Live Surf,"moss, violet leaf, cedar, vetiver, musk, green notes, watery notes"
American Eagle,AEO Me Blush,"apricot blossom, jasmine, freesia, sandalwood, musk, amber, pink grapefruit, raspberry, apple"
American Eagle,AEO Real Blaze,"orange blossom, violet leaf, apple, cardamom, patchouli, driftwood, vetiver, cedar needles, bergamot, neroli, mandarin orange, melon"
American Eagle,Alive,"geranium, rose, lily, clary sage, jasmine, cloves, patchouli, sandalwood, amber, musk, grapefruit, tangerine, bergamot, basil, cardamom, green leaves, anise, watery notes"
American Eagle,American Eagle AEO 1977,"cedar, clary sage, basil, precious woods, patchouli, musk, green notes, water notes, bergamot"
American Eagle,American Eagle AEO Vintage,"white flowers, lotus, rose, mango, praline, musk, white woods, mandarin orange, apple"
American Eagle,Aura,"fruity notes, floral notes"
American Eagle,Bohemian,"peach blossom, jasmine, citron, musk, cedar, patchouli, grapefruit, verbena, kumquat, ginger, herbal notes"
American Eagle,Bohemian Summer,"freesia, vanilla orchid, musk, vetiver, bergamot, lemon leaf"
American Eagle,Crush,"lily-of-the-valley, jasmine, apple, pear, cedar, musk, grapefruit, cassis, lemon"
American Eagle,Epic,"red apple, pear, sandalwood, vetiver, patchouli, tonka bean, moss, myrrh, musk, mandarin orange, aldehydes, lemon, neroli, green leaves, galbanum, rhubarb"
American Eagle,Legend,"lotus, lavender, labdanum, amber, patchouli, vanilla, sandalwood, violet, mandarin orange, apple, cardamom"
American Eagle,Live,"lotus, jasmine, freesia, marshamallow, musk, woody notes, pear, orange, bergamot"
American Eagle,Live,"apple, cedar, balsam fir, lavender, nutmeg, patchouli, sandalwood, moss, musk, vetiver, birch, mandarin orange, cardamom, sage"
American Eagle,Me,"lily-of-the-valley, freesia, jasmine, sandalwood, vanilla, musk, mandarin orange, pineapple, red berries"
American Eagle,Real,"lily-of-the-valley, lotus, orange blossom, patchouli, birch, sandalwood, pink grapefruit, pomegranate, mandarin orange"
American Eagle,Real,"cardamom, rose, orange blossom, lily-of-the-valley, patchouli, vetiver, sandalwood, amber, moss, resins, sea notes, mandarin orange, lemon, bergamot, green leaves, watery notes"
